change_id,change_number,url,project,created,closed,status,subject,description,#revisions,#reviewers,#added_lines,#deleted_lines,#files,#inline_comments,#messages,discreption_length,duration_in_hours,files,at_least_one_puppet,AnsibleFiles
openstack%2Ftripleo-heat-templates~master~I0b3f282c08af6fecea8f136908b806db70bada46,459900,https://review.opendev.org/459900,tripleo-heat-templates,48:07.0,56:20.0,MERGED,Add split-stack environments,Add split-stack environments,16,9,42,7,5,17,77,28,1506.136944,"['deployed-server/deployed-server-roles-data.yaml', 'environments/overcloud-baremetal.j2.yaml', 'environments/overcloud-services.j2.yaml', 'releasenotes/notes/split-stack-environments-1f817e24b5d90959.yaml', 'roles_data.yaml']",FALSE,['roles_data.yaml']
openstack%2Fservice-types-authority~master~Ia62e01ca4380df0a36daaf76fe90e5f808ac7773,462984,https://review.opendev.org/462984,service-types-authority,12:35.0,56:09.0,MERGED,Build a transformed JSON document for publication,Build a transformed JSON document for publication,3,3,182,1,6,1,12,49,1274.726111,"['.gitignore', 'doc/source/index.rst', 'doc/source/published-schema.json', 'published-schema.json', 'tox.ini', 'validate.py']",FALSE,[]
openstack%2Fservice-types-authority~master~Id310567f2597cca136f51ae2b2bb464d76d96741,478231,https://review.opendev.org/478231,service-types-authority,30:14.0,55:26.0,MERGED,"Reorder service-types.yaml, fix service_type regex","Reorder service-types.yaml, fix service_type regex",1,3,57,57,2,0,8,50,0.42,"['schema.json', 'service-types.yaml']",FALSE,[]
openstack%2Ftripleo-ci~master~I3a620314ebbb07f7c9d41ff28eeaba28351d9f45,475200,https://review.opendev.org/475200,tripleo-ci,44:13.0,47:10.0,MERGED,Add multinode jobs to promotion,Add multinode jobs to promotion,3,8,1,1,1,0,27,31,214.0491667,['scripts/mirror-server/mirror-server.pp'],TRUE,[]
openstack%2Fmurano-dashboard~master~I065868d094822aacfaa742af72e76af8296f740d,477966,https://review.opendev.org/477966,murano-dashboard,13:27.0,44:49.0,MERGED,Updated from global requirements,Updated from global requirements,2,4,1,1,1,0,11,32,6.522777778,['test-requirements.txt'],FALSE,[]
openstack%2Foctavia~master~I52350944a377791eafdb407c51301250377c8a49,476290,https://review.opendev.org/476290,octavia,10:24.0,44:19.0,MERGED,Stop provider and flavor API stubs failing calls,Stop provider and flavor API stubs failing calls,4,5,63,3,1,3,16,48,138.5652778,['octavia/api/v2/controllers/load_balancer.py'],FALSE,[]
openstack%2Foctavia~master~I458cc181d987f4e062910b45ae8026e0e3e7fa71,477709,https://review.opendev.org/477709,octavia,28:47.0,43:54.0,MERGED,DELETE operations don't actually return data (204),DELETE operations don't actually return data (204),1,3,0,27,7,0,7,50,19.25194444,"['octavia/api/v2/controllers/health_monitor.py', 'octavia/api/v2/controllers/l7policy.py', 'octavia/api/v2/controllers/l7rule.py', 'octavia/api/v2/controllers/listener.py', 'octavia/api/v2/controllers/load_balancer.py', 'octavia/api/v2/controllers/member.py', 'octavia/api/v2/controllers/pool.py']",FALSE,[]
openstack%2Fmurano-agent~master~Icebd1d86057c0f1222e467b41acce3fa89b40817,477965,https://review.opendev.org/477965,murano-agent,13:17.0,41:17.0,MERGED,Updated from global requirements,Updated from global requirements,1,4,1,1,1,0,8,32,6.466666667,['test-requirements.txt'],FALSE,[]
openstack%2Fmurano-pkg-check~master~I8bf772130599405267827d3f08425357a7c3e986,477967,https://review.opendev.org/477967,murano-pkg-check,13:29.0,40:16.0,MERGED,Updated from global requirements,Updated from global requirements,1,3,1,1,1,0,7,32,6.446388889,['test-requirements.txt'],FALSE,[]
openstack%2Fproject-config~master~I015904ca1a65cf3c845e600c2d6061cd32f6da65,477210,https://review.opendev.org/477210,project-config,23:09.0,32:50.0,MERGED,Make infra's beaker jobs voting,Make infra's beaker jobs voting,4,5,166,158,1,0,15,31,53.16138889,['zuul/layout.yaml'],FALSE,[]
openstack%2Fpuppet-tripleo~master~I15e67c7c04142cff01704e2590d3b2a6a949cc06,477897,https://review.opendev.org/477897,puppet-tripleo,27:59.0,09:51.0,MERGED,Always start httpd at the same time (TLS proxy),Always start httpd at the same time (TLS proxy),2,5,21,7,2,0,14,47,6.697777778,"['manifests/profile/base/neutron/server.pp', 'manifests/profile/base/swift/proxy.pp']",TRUE,[]
openstack%2Ftripleo-heat-templates~master~I3a486d22b30ffdb6053b3d917dea373c1361df81,477552,https://review.opendev.org/477552,tripleo-heat-templates,20:03.0,09:44.0,MERGED,Add non-ha env file.,Add non-ha env file.,1,4,16,0,1,0,10,20,27.82805556,['environments/nonha-arch.yaml'],FALSE,[]
openstack%2Ftripleo-common~master~Ief09eb7432359391c07c12b1c352152990e22eaf,475732,https://review.opendev.org/475732,tripleo-common,42:38.0,09:31.0,MERGED,Add workbook to rotate fernet keys,Add workbook to rotate fernet keys,11,8,101,0,2,0,38,34,175.4480556,"['playbooks/rotate-keys.yaml', 'workbooks/fernet-key-rotate.yaml']",FALSE,['playbooks/rotate-keys.yaml']
